restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
Viking,Casual Dining,2.9,86,450.0,0,0,Chinese,Malleshwaram,Malleshwaram
Viking,Casual Dining,2.9,86,450.0,0,0,North Indian,Malleshwaram,Malleshwaram
Village - The Soul of India,Casual Dining,3.9,1225,1100.0,0,0,North Indian,Bellandur,Sarjapur Road
Village - The Soul of India,Casual Dining,3.9,1225,1100.0,0,0,Lucknowi,Bellandur,Sarjapur Road
Village - The Soul of India,Casual Dining,3.9,1225,1100.0,0,0,Gujarati,Bellandur,Sarjapur Road
Village - The Soul of India,Casual Dining,3.9,1225,1100.0,0,0,Maharashtrian,Bellandur,Sarjapur Road
Village - The Soul of India,Casual Dining,3.9,1225,1100.0,0,0,South Indian,Bellandur,Sarjapur Road
Village - The Soul of India,Casual Dining,3.9,1225,1100.0,0,0,Bengali,Bellandur,Sarjapur Road
Village Donne Biryani,Quick Bites,3.3,49,300.0,1,0,Biryani,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Village Kitchen,Quick Bites,3.5,40,250.0,1,0,South Indian,HSR,HSR
Village Kitchen,Quick Bites,3.5,40,250.0,1,0,Kerala,HSR,HSR
Village Kitchen,Quick Bites,3.5,40,250.0,1,0,Chinese,HSR,HSR
Village Palace,Quick Bites,3.0,46,250.0,1,0,North Indian,Electronic City,Electronic City
Village Palace,Quick Bites,3.0,46,250.0,1,0,Chinese,Electronic City,Electronic City
Village Palace,Quick Bites,3.0,46,250.0,1,0,Andhra,Electronic City,Electronic City
Village Palace,Quick Bites,3.0,46,250.0,1,0,Seafood,Electronic City,Electronic City
Village Restaurant,Casual Dining,3.5,338,1000.0,1,0,Arabian,Brookefield,Marathahalli
Village Restaurant,Casual Dining,3.5,338,1000.0,1,0,Chinese,Brookefield,Marathahalli
Village Restaurant,Casual Dining,3.5,338,1000.0,1,0,Kerala,Brookefield,Marathahalli
Village Restaurant,Casual Dining,3.5,338,1000.0,1,0,North Indian,Brookefield,Marathahalli
Village Restaurant,Casual Dining,3.5,338,1000.0,1,0,Biryani,Brookefield,Marathahalli
Vimmi's Cafe,"Takeaway, Delivery",2.7,30,500.0,1,0,American,Old Airport Road,Indiranagar
Vinay Bhel Corner,Quick Bites,3.4,7,100.0,0,0,Street Food,Banashankari,Banashankari
Vinaya Cafe,Quick Bites,3.4,11,200.0,1,0,South Indian,Basavanagudi,Jayanagar
Vinaya Cafe,Quick Bites,3.4,11,200.0,1,0,Street Food,Basavanagudi,Jayanagar
Vinaya Cafe,Quick Bites,3.4,11,200.0,1,0,Juices,Basavanagudi,Jayanagar
Vinaya Coffee Moments,Cafe,3.7,46,450.0,1,0,Burger,Bannerghatta Road,JP Nagar
Vinaya Coffee Moments,Cafe,3.7,46,450.0,1,0,Cafe,Bannerghatta Road,JP Nagar
