restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
Urban Solace - Caf for the Soul,"Cafe, Casual Dining",3.9,461,800.0,1,0,Steak,Brigade Road,Ulsoor
Urban Solace - Caf for the Soul,"Cafe, Casual Dining",3.9,464,800.0,1,0,Cafe,MG Road,Ulsoor
Urban Solace - Caf for the Soul,"Cafe, Casual Dining",3.9,464,800.0,1,0,American,MG Road,Ulsoor
Urban Solace - Caf for the Soul,"Cafe, Casual Dining",3.9,464,800.0,1,0,Continental,MG Road,Ulsoor
Urban Solace - Caf for the Soul,"Cafe, Casual Dining",3.9,464,800.0,1,0,Steak,MG Road,Ulsoor
Urban Solace - Caf for the Soul,"Cafe, Casual Dining",3.9,464,800.0,1,0,Cafe,Lavelle Road,Ulsoor
Urban Solace - Caf for the Soul,"Cafe, Casual Dining",3.9,464,800.0,1,0,American,Lavelle Road,Ulsoor
Urban Solace - Caf for the Soul,"Cafe, Casual Dining",3.9,464,800.0,1,0,Continental,Lavelle Road,Ulsoor
Urban Solace - Caf for the Soul,"Cafe, Casual Dining",3.9,464,800.0,1,0,Steak,Lavelle Road,Ulsoor
Urban Spice,Casual Dining,3.6,23,800.0,1,0,North Indian,Koramangala 4th Block,Ejipura
Urban Spice,Casual Dining,3.6,23,800.0,1,0,Chinese,Koramangala 4th Block,Ejipura
Urban Spice,Casual Dining,3.6,23,800.0,1,0,Continental,Koramangala 4th Block,Ejipura
Urban Spoon Buffet Restaurant,Casual Dining,3.5,32,1000.0,0,1,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Urban Spoon Buffet Restaurant,Casual Dining,3.5,32,1000.0,0,1,Chinese,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Urban Tamaasha,Casual Dining,4.1,840,1200.0,1,1,North Indian,Indiranagar,Indiranagar
Urban Tamaasha,Casual Dining,4.1,840,1200.0,1,1,Chinese,Indiranagar,Indiranagar
Urban Tamaasha,Casual Dining,4.1,840,1200.0,1,1,Continental,Indiranagar,Indiranagar
Urban Treat,Quick Bites,3.3,10,250.0,0,0,South Indian,Old Airport Road,CV Raman Nagar
Urban Treat,Quick Bites,3.3,10,250.0,0,0,North Indian,Old Airport Road,CV Raman Nagar
Urban Treat,Quick Bites,3.3,10,250.0,0,0,Street Food,Old Airport Road,CV Raman Nagar
Urban Udupi Veg Restaurant,Casual Dining,3.5,9,400.0,0,0,Chinese,Electronic City,Electronic City
Urban Udupi Veg Restaurant,Casual Dining,3.5,9,400.0,0,0,North Indian,Electronic City,Electronic City
Urban Udupi Veg Restaurant,Casual Dining,3.5,9,400.0,0,0,South Indian,Electronic City,Electronic City
Urvashi,Casual Dining,2.8,40,600.0,1,0,South Indian,HSR,HSR
Urvashi,Casual Dining,2.8,40,600.0,1,0,Chinese,HSR,HSR
Urvashi,Casual Dining,2.8,40,600.0,1,0,Seafood,HSR,HSR
Urvashi,Casual Dining,2.8,40,600.0,1,0,Biryani,HSR,HSR
US Pizza,Quick Bites,2.4,63,500.0,1,0,Pizza,Marathahalli,Kaggadasapura
US Pizza,Quick Bites,2.4,63,500.0,1,0,Italian,Marathahalli,Kaggadasapura
US Pizza,Quick Bites,2.4,63,500.0,1,0,Salad,Marathahalli,Kaggadasapura
